246 : 43521 | Magnitude: 24786.318359375 | Phase_angle: -99.67840104895375
247 : 43521 | Magnitude: 24755.712890625 | Phase_angle: -96.36002877278392
248 : 43521 | Magnitude: 24739.556640625 | Phase_angle: -92.27480383774008
249 : 43521 | Magnitude: 24746.9921875 | Phase_angle: -89.73706754218935
250 : 43521 | Magnitude: 24787.84765625 | Phase_angle: -87.69044916871923
251 : 43521 | Magnitude: 24810.978515625 | Phase_angle: -88.67809452270306
252 : 43521 | Magnitude: 24755.783203125 | Phase_angle: -87.66825788410586
253 : 43521 | Magnitude: 24753.89453125 | Phase_angle: -87.10675486262828
254 : 43521 | Magnitude: 24765.04296875 | Phase_angle: -85.61134641555651
255 : 43521 | Magnitude: 24765.078125 | Phase_angle: -83.06169143990411
256 : 43521 | Magnitude: 24763.154296875 | Phase_angle: -82.54599166700064
257 : 43521 | Magnitude: 24774.232421875 | Phase_angle: -80.82140305251828
258 : 43521 | Magnitude: 24774.455078125 | Phase_angle: -80.51769869107366
259 : 43521 | Magnitude: 24756.517578125 | Phase_angle: -78.95252669181939
260 : 43521 | Magnitude: 24770.994140625 | Phase_angle: -79.41243064939302
261 : 43521 | Magnitude: 24737.41015625 | Phase_angle: -78.42017491771942
262 : 43521 | Magnitude: 24691.25390625 | Phase_angle: -78.20660173256229
263 : 43521 | Magnitude: 24783.685546875 | Phase_angle: -76.54271300923382
264 : 43521 | Magnitude: 24765.076171875 | Phase_angle: -76.25495713950119
265 : 43521 | Magnitude: 24763.294921875 | Phase_angle: -75.6934336274561
266 : 43521 | Magnitude: 24768.064453125 | Phase_angle: -74.3184345852625
267 : 43521 | Magnitude: 24782.474609375 | Phase_angle: -73.07605732618302
268 : 43521 | Magnitude: 24755.779296875 | Phase_angle: -70.00398850167302
269 : 43521 | Magnitude: 24737.84765625 | Phase_angle: -68.88098245871787
270 : 43521 | Magnitude: 24728.533203125 | Phase_angle: -65.42604738028281
271 : 43521 | Magnitude: 24726.712890625 | Phase_angle: -64.89286232310411
272 : 43521 | Magnitude: 24704.95703125 | Phase_angle: -65.13889256719713
273 : 43521 | Magnitude: 24747.513671875 | Phase_angle: -62.73358680946379
274 : 43521 | Magnitude: 24792.470703125 | Phase_angle: -62.1092665381896
275 : 43521 | Magnitude: 24754.138671875 | Phase_angle: -61.592945218071655
276 : 43521 | Magnitude: 24755.779296875 | Phase_angle: -60.21786421360801
277 : 43521 | Magnitude: 24755.57421875 | Phase_angle: -59.97147879967814
278 : 43521 | Magnitude: 24752.427734375 | Phase_angle: -59.65059651247094
279 : 43521 | Magnitude: 24755.51171875 | Phase_angle: -59.42718785490899
280 : 43521 | Magnitude: 24754.029296875 | Phase_angle: -58.458858275897946
281 : 43521 | Magnitude: 24764.96875 | Phase_angle: -56.49363526676686
282 : 43521 | Magnitude: 24763.15625 | Phase_angle: -55.96619098358555
283 : 43521 | Magnitude: 24792.328125 | Phase_angle: -54.58595318629854
284 : 43521 | Magnitude: 24768.29296875 | Phase_angle: -53.48509061663256
285 : 43521 | Magnitude: 24761.5 | Phase_angle: -52.40623150137778
286 : 43521 | Magnitude: 24760.3828125 | Phase_angle: -51.05664076289663
287 : 43521 | Magnitude: 24801.48828125 | Phase_angle: -51.285718477469686
288 : 43521 | Magnitude: 24783.31640625 | Phase_angle: -50.14525447099597
289 : 43521 | Magnitude: 24783.31640625 | Phase_angle: -49.87020958330873
290 : 43521 | Magnitude: 24783.31640625 | Phase_angle: -49.595137374864805
291 : 43521 | Magnitude: 24783.388671875 | Phase_angle: -47.95083421898135
292 : 43521 | Magnitude: 24792.400390625 | Phase_angle: -45.23502123139005
293 : 43521 | Magnitude: 24792.470703125 | Phase_angle: -44.14639153052757
294 : 43521 | Magnitude: 24810.923828125 | Phase_angle: -43.02945411064997
295 : 43521 | Magnitude: 24783.31640625 | Phase_angle: -42.17541408702075
296 : 43521 | Magnitude: 24755.814453125 | Phase_angle: -39.83173371107384
297 : 43521 | Magnitude: 24772.62109375 | Phase_angle: -39.31060735287479
298 : 43521 | Magnitude: 24783.392578125 | Phase_angle: -36.50886034024097
299 : 43521 | Magnitude: 24783.31640625 | Phase_angle: -35.110840145449835
300 : 43521 | Magnitude: 24792.470703125 | Phase_angle: -33.73001153679962
301 : 43521 | Magnitude: 24792.470703125 | Phase_angle: -33.449232705304155
302 : 43521 | Magnitude: 24792.470703125 | Phase_angle: -32.36637792938492
303 : 43521 | Magnitude: 24795.96875 | Phase_angle: -31.254935396694595
304 : 43521 | Magnitude: 24792.505859375 | Phase_angle: -28.229626047242505
